The Thing About Alice,Jean-Luke Swanepoel
"Crowning Soul (Heart of Noorenia, #1)",Sahira Javaid
Introverted Me,Kevin Martz
"Mary, Everything (The Flapper Covenant, #1)",Cassandra Yorke
"Broken Fae (Ruthless Boys of the Zodiac, #4)",Caroline Peckham
"The Creation of Me, Them and Us",Heather  Marsh
Stories That Bind Us,Susie Finkbeiner
Loveless,Alice Oseman
The Last Flight,Julie   Clark
The Dirty South (Charlie Parker #18),John Connolly
"Darkmore Penitentiary (Supernatural Prison for Dark Fae, #1)",Caroline Peckham
"The Life You Stole (Life, #2)",Jewel E. Ann
Felix Ever After,Kacen Callender
The Resisters,Gish Jen
"Fable (Fable, #1)",Adrienne Young
"A Map Is Only One Story: Twenty Writers on Immigration, Family, and the Meaning of Home",Nicole Chung
"All the Stars and Teeth (All the Stars and Teeth, #1)",Adalyn  Grace
"Epic (Him, #2.5)",Sarina Bowen
"Stranger Planet (Strange Planet, #2)",Nathan W. Pyle
Afterlife,Julia Alvarez
Wolf's Curse (Otherworld Stories #13.9),Kelley Armstrong
"Emerald Blaze (Hidden Legacy, #5)",Ilona Andrews
The 20th Victim (Women's Murder Club #20),James Patterson
"Wayside School Beneath the Cloud of Doom (Wayside School, #4)",Louis Sachar
Black Sunday,Tola Rotimi Abraham
"Pharma: Greed, Lies, and the Poisoning of America",Gerald Posner
All Adults Here,Emma Straub
Protecting What's Mine,Lucy Score
When These Mountains Burn,David    Joy
"Dead Land (V.I. Warshawski, #20)",Sara Paretsky
The Half Sister,Sandie Jones
Under the Rainbow,Celia Laskey
The Authenticity Project,Clare Pooley
Clap When You Land,Elizabeth Acevedo
The Worst Best Man,Mia Sosa
Fred's Big Feelings: The Life and Legacy of Mister Rogers,Laura Renauld
All Your Twisted Secrets,Diana  Urban
You Were There Too,Colleen Oakley
The Split,Sharon J. Bolton
Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall
The Better Liar,Tanen Jones
The Book of Lost Names,Kristin Harmel
"The Night Country (The Hazel Wood, #2)",Melissa Albert
Djinn Patrol on the Purple Line,Deepa Anappara
The Other People,C.J. Tudor
Hella,David Gerrold
Fight of the Century: Writers Reflect on 100 Years of Landmark ACLU Cases,Michael Chabon
Set the Night on Fire: L.A. in the Sixties,Mike  Davis
"Creole Kingpin (The Magnolia Duet, #1)",Meghan March
"Girl, Serpent, Thorn",Melissa Bashardoust
Reaganland: America's Right Turn 1976-1980,Rick Perlstein
Moonflower Murders (Susan Ryeland #2),Anthony Horowitz
"Hush (Hush, #1)",Dylan Farrow
"Raphael, Painter in Rome",Stephanie Storey
88 Names,Matt Ruff
Pride of Eden,Taylor  Brown
Unfinished Business: Notes of a Chronic Re-Reader,Vivian Gornick
"Well Played (Well Met, #2)",Jen DeLuca
Happily Ever After & Everything In Between,Debbie Tung
One by One,Ruth Ware
BEAST OF NEW CASTLE: The Heart-Pounding Battle To Stop A Savage Killer,Larry Sells
Cartier's Hope,M.J. Rose
The Power of Experiments: Decision Making in a Data-Driven World,Michael Luca
Code Name Hélène,Ariel Lawhon
Take Me Apart,Sara Sligar
Machiavelli: His Life and Times,Alexander Lee
The Last Voyage of the Andrea Doria: The Sinking of the World's Most Glamorous Ship,Greg King
Bach's Musical Universe: The Composer and His Work,Christoph Wolff
Death in Mud Lick: A True Story of Corporate Pill Pushers in Small Town America,Eric Eyre
Race Against Time: A Reporter Reopens the Unsolved Murder Cases of the Civil Rights Era,Jerry Mitchell
The Bear,Andrew Krivak
Edge of Collapse (Edge of Collapse #1),Kyla Stone
Before I Called You Mine,Nicole Deese
"Last Memoria (Memoria Duology, #1)",Rachel Emma Shaw
The Lucky Ones,Liz Lawson
LOVE OVER CAPPUCCINO,Mansi Modi
Navigate Your Stars,Jesmyn Ward
Days of Distraction,Alexandra Chang
The Roxy Letters,Mary Pauline Lowry
Paladin's Grace,T. Kingfisher
Nothing Can Hurt You,Nicola Maye Goldberg
A Princess for Christmas,Jenny Holiday
Stories of September,Fiona Cole
The Girl in White Gloves,Kerri Maher
Sweet Temptation,Cora Reilly
The Wonder Boy of Whistle Stop,Fannie Flagg
Race to the Sun,Rebecca Roanhorse
"Hate Crush (Filthy Rich, #2)",Angelina M. Lopez
Tell Me Pretty Lies,Charleigh Rose
"White Out (Badlands Thriller, #1)",Danielle Girard
The Vanishing (Fogg Lake #1),Jayne Ann Krentz
"When Art Rises (Living in Cin, #1)",Lorrain Allen
"The Tourist Attraction (Moose Springs, Alaska #1)",Sarah Morgenthaler
"My Maddie (Hades Hangmen, #8)",Tillie Cole
"Say Yes to the Duke (The Wildes of Lindow Castle, #5)",Eloisa James
Virgin Flyer,Lucy Lennox
Pine,Francine Toon
"Peace Talks (The Dresden Files, #16)",Jim Butcher
"A Beautifully Foolish Endeavor (The Carls, #2)",Hank Green
"Katheryn Howard, the Scandalous Queen",Alison Weir
"A Killing Frost (October Daye, #14)",Seanan McGuire
"Kings of Quarantine (Brutal Boys of Everlake Prep, #1)",Caroline Peckham
Mermaid Moon,Susann Cokal
"Vagina Problems: Endometriosis, Painful Sex, and Other Taboo Topics",Lara  Parker
Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,Max Brooks
"Hi Five (IQ, #4)",Joe Ide
"Twisted Hearts (The Camorra Chronicles, #5)",Cora Reilly
"First Comes Scandal (Rokesbys, #4)",Julia Quinn
"The Crushing Depths (Coastal Guardians, #2)",Dani Pettrey
"A Bad Day for Sunshine (Sunshine Vicram, #1)",Darynda Jones
The Shadows,Alex North
"Axiom's End (Noumena, #1)",Lindsay  Ellis
Burn,Patrick Ness
Set the Stars Alight,Amanda Dykes
Blacktop Wasteland,S.A.  Cosby
The Herd,Andrea Bartz
The Deep,Alma Katsu
"Gabriel's Promise (Gabriel's Inferno, #4)",Sylvain Reynard
Hope in the Mail: Reflections on Writing and Life,Wendelin Van Draanen
The Fire Never Goes Out: A Memoir in Pictures,Noelle Stevenson
The Mall,Megan McCafferty
The Space Between Worlds,Micaiah Johnson
Grown Ups,Marian Keyes
Blackwood,Michael Farris Smith
Bell Hammers,Lancelot Schaubert
19 Love Songs,David Levithan
Of Literature and Lattes,Katherine Reay
Minor Feelings: An Asian American Reckoning,Cathy Park Hong
Sweet Dandelion,Micalea Smeltzer
"One Last Lie (Mike Bowditch, #11)",Paul Doiron
Upright Women Wanted,Sarah Gailey
"When She Was Good (Cyrus Haven, #2)",Michael Robotham
Your French Kisses (Boyfriend Material #4),Lauren Blakely
Most Likely,Sarah  Watson
The Once and Future Witches,Alix E. Harrow
Driftwood Dreams (Carolina Coast #2),T.I. Lowe
"Black Sun (Between Earth and Sky, #1)",Rebecca Roanhorse
"Where Dreams Descend (Kingdom of Cards, #1)",Janella Angeles
Dear Emmie Blue,Lia Louis
"Grave (Dark Kings, #2)",Shantel Tessier
"Uppercut Princess (The Heights Crew, #1)",E.M. Moore
"All the Devils Are Here (Chief Inspector Armand Gamache, #16)",Louise Penny
The Big Goodbye: Chinatown and the Last Years of Hollywood,Sam Wasson
Broken Knights (Gifted Academy #4),Michelle Hercules
A Love Hate Thing,Whitney D. Grandison
Head Over Heels,Hannah Orenstein
James Monroe: A Life,Tim  McGrath
"Under Scottish Stars (MacDonald Family Trilogy, #3)",Carla Laureano
"Mountain Road, Late at Night",Alan Rossi
And They Called It Camelot: A Novel of Jacqueline Bouvier Kennedy Onassis,Stephanie Marie Thornton
The Midnight Library,Matt Haig
"The Talented Mr. Varg (Detective Varg, #2)",Alexander McCall Smith
"Imaginary Numbers (InCryptid, #9)",Seanan McGuire
Armageddon House,Michael Griffin
"Love, Creekwood (Simonverse, #3.5)",Becky Albertalli
The Switch,Beth O'Leary
Beautiful Soldier (The Heights Crew #3),E.M. Moore
"Wow, No Thank You.",Samantha Irby
The Ickabog,J.K. Rowling
Kiss My Cupcake,Helena Hunting
Rage,Bob Woodward
Moonflower Murders (Susan Ryeland #2),Anthony Horowitz
Life of a Klansman: A Family History in White Supremacy,Edward Ball
Eden,Tim Lebbon
Big Summer,Jennifer Weiner
A Promised Land,Barack Obama
The Devil and the Dark Water,Stuart Turton
"Black Knight (Royal Elite, #4)",Rina Kent
Gods of War,James Lacey
500 Miles from You,Jenny Colgan
"Ruthless Empire (Royal Elite, #6)",Rina Kent
"Love Her or Lose Her (Hot & Hammered, #2)",Tessa Bailey
Then the Fish Swallowed Him,Amir Ahmadi Arian
The Founding Fortunes: How the Wealthy Paid for and Profited from America's Revolution,Tom Shachtman
What Lies Between Us,John Marrs
The Fifth Avenue Story Society,Rachel Hauck
The Death of Vivek Oji,Akwaeke Emezi
Eden Mine,S.M. Hulse
Westering Women,Sandra Dallas
Recollections of My Nonexistence: A Memoir,Rebecca Solnit
Cleanness,Garth Greenwell
A Private Cathedral (Dave Robicheaux #23),James Lee Burke
The Faceless Old Woman Who Secretly Lives In Your Home,Joseph Fink
The Black Cabinet: The Untold Story of African Americans and Politics During the Age of Roosevelt,Jill  Watts
Jack,Marilynne Robinson
The NRA: The Unauthorized History,Frank Smyth
"The Janes (Alice Vega, #2)",Louisa Luna
Man of My Time,Dalia Sofer
The King at the Edge of the World,Arthur Phillips
Musical Chairs,Amy Poeppel
Craigslist Confessional: A Collection of Secrets from Anonymous Strangers,Helena Dea Bala
Saint X,Alexis Schaitkin
The Thirty Names of Night,Zeyn Joukhadar
The Brother Years,Shannon Burke
The Secret Lives of Church Ladies,Deesha Philyaw
The Awkward Black Man,Walter Mosley
The Broken Heart of America: St. Louis and the Violent History of the United States,Walter Johnson
Pride and Power: A Modern History of Iraq,Johan Franzen
Unmaking the Presidency: Donald Trump's War on the World's Most Powerful Office,Susan Hennessey
The Second Chance Club: Hardship and Hope After Prison,Jason Hardy
Outbound Train,Renea Winchester
Bitter Falls (Stillhouse Lake #4),Rachel Caine
"The Bear King (Dark Age, #3)",James Wilde
Sternenstaubkind (Sternenmagie 1),Isa Day
Trace Elements (Comissario Guido Brunetti #29),Donna Leon
The Color of Air,Gail Tsukiyama
Running Against the Devil: A Plot to Save America from Trump — And Democrats from Themselves,Rick    Wilson
Writers Revenge: Four Authors and the Publisher from Hell,Alice Gamble
Building a Life Worth Living: A Memoir,Marsha M Linehan
"Big Girl, Small Town",Michelle Gallen
You Exist Too Much,Zaina Arafat
Kings Falling (The Book of the Wars #2),Ronie Kendig
Man of War: Book #4 The Rebels and Redcoats Saga Prequel,T.J. London
It All Began With A Note,H.M. Shander
His Accidental Daddy,Luna David
"The Curator (Washington Poe, #3)",M.W. Craven
Sunbathing I Want To,Nicholas Dolinger
Daddy,Emma Cline
"Storing Up Trouble (American Heiresses, #3)",Jen Turano
A Bit of a Stretch,Chris Atkins
The Memory Wood,Sam  Lloyd
"Crush (Crave, #2)",Tracy Wolff
"The Duke of Diamonds (Games of Gentlemen, #1)",Emily Windsor
"The Influence of Soros: Politics, Power, and the Struggle for an Open Society",Emily Tamkin
Breath: The New Science of a Lost Art,James Nestor
Lost in the City of @,Michael     Bell
This Brilliant Darkness: A Book of Strangers,Jeff Sharlet
Little Family,Ishmael Beah
"Alsea Rising: Gathering Storm (Chronicles of Alsea, #9)",Fletcher DeLancey
"A ​Sky Beyond the Storm (An Ember in the Ashes, #4)",Sabaa Tahir
"The Heretic (The Heretic Trilogy, #1)",Allysha Lavino
A Taste of Sage,Yaffa S. Santos
The Renascent World,Carryn W. Kerr
The Undocumented Americans,Karla Cornejo Villavicencio
Utopia Avenue,David Mitchell
How Much of These Hills Is Gold,C Pam Zhang
"Malorie (Bird Box, #2)",Josh Malerman
Exodus (The Ravenhood Duet #2),Kate  Stewart
The Beast of Bellevue,Grace Chen
I Am Not Your Slave: A Memoir,Tupa Tjipombo
The Singular Prize,Francisca Egbo
The Takeover (The Miles High Club #2),T.L. Swan
Salvar el fuego,Guillermo Arriaga
"False Value (Rivers of London, #8)",Ben Aaronovitch
رواية عَنَاة,ماهر دعبول
Just a Boy and a Girl in a Little Canoe,Sarah Mlynowski
"All We Can Save: Truth, Courage, and Solutions for the Climate Crisis",Ayana Elizabeth Johnson
Fortitude: American Resilience in the Era of Outrage,Dan Crenshaw
"The Tower of Nero (The Trials of Apollo, #5)",Rick Riordan
Jefferson Parish a Novel,Michael W. Hull
APOPHIS - Into the Folds of Darkness,Raj Anand
The Road of Resistance,Chase E.F.  Bolling
Felix Ever After,Kacen Callender
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings
"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout
Dear Emmie Blue,Lia Louis
"Long Range (Joe Pickett, #20)",C.J. Box
"Woman of Sunlight (Brides of Hope Mountain, #2)",Mary Connealy
Love According to Science,Claire Kingsley
Officer Clemmons,François S. Clemmons
The Animals at Lockwood Manor,Jane  Healey
Abschied (Sternenmagie 2),Isa Day
You Let Me In,Camilla  Bruce
Romantically Ever After,Tessa Layne
Feralsong (Green Creek #3.5),T.J. Klune
"Check, Please!, Book 2: Sticks & Scones",Ngozi Ukazu
"Badger to the Bone (Honey Badger Chronicles, #3)",Shelly Laurenston
The River Home,Hannah Richell
Worth a Shot,Gail Haris
"A Reckless Love (Daughtry House, #3)",Beth  White
The House at the End of the Moor,Michelle Griep
"I Want to Believe: Posadism, UFOs and Apocalypse Communism",A.M. Gittlitz
Spring Strings,Lily Morton
Dating Makes Perfect,Pintip Dunn
"How the Lady Was Won (The Survivors, #7)",Shana Galen
"The Good Turn (Cormac Reilly, #3)",Dervla  McTiernan
The Milk Wagon,Michael Hewes
"One True King (The School for Good and Evil: The Camelot Years, #3)",Soman Chainani
The Invisible Life of Addie LaRue,V.E. Schwab
"Wolf in Sheep's Clothing (Big Bad Wolf, #4)",Charlie Adhara
By the Book,Amanda Sellet
One Year of Ugly,Caroline Mackenzie
Again Again,E. Lockhart
How to Defeat a Demon King in Ten Easy Steps,Andrew Rowe
"Incendiary (Hollow Crown, #1)",Zoraida Córdova
Flock (The Ravenhood Duet #1),Kate  Stewart
By a Thread,Lucy Score
"Reign of a King (Kingdom Duet, #1)",Rina Kent
The Orphan Collector,Ellen Marie Wiseman
Mirror To Fear,Darla Lark
Elijah Wadsworth and the Druid's Dance (The Wadsworth Legacy Book 1),Theophilus Monroe
Fence: Striking Distance,Sarah Rees Brennan
Thoroughly Whipped,Tillie Cole
My Dark Vanessa,Kate Elizabeth Russell
"The Lies We Tell (The Four, #1)",Becca Steele
The War We Make,Chase E.F.  Bolling
"Date Me, Bryson Keller",Kevin van Whye
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout
Followers,Megan Angelo
Star of Persia: Esther's Story,Jill Eileen Smith
"On Vanishing: Mortality, Dementia, and What It Means to Disappear",Lynn Casteel Harper
"Lobizona (Wolves of No World, #1)",Romina Garber
"If You Must Know (Potomac Point, #1)",Jamie Beck
"The Runaway Bride (The Bride Ships, #2)",Jody Hedlund
"Rewritten (Unscripted, #2)",J.R. Gray
The God Game,Danny Tobey
"The Lantern Men (Ruth Galloway, #12)",Elly Griffiths
"The Physicians of Vilnoc (Penric and Desdemona, #8)",Lois McMaster Bujold
"The Highlander's Excellent Adventure (The Survivors, #8)",Shana Galen
The Lost Girls of Devon,Barbara O'Neal
Poisoned,Jennifer Donnelly
"Lightbringer (Empirium, #3)",Claire Legrand
"Whiteout (Survival Instincts, #1)",Adriana Anders
The Jewel Thief,Jeannie Mobley
"Charming Like Us (Like Us, #7)",Krista Ritchie
"Love in Colour: Mythical Tales from Around the World, Retold",Bolu Babalola
The Year the Maps Changed,Danielle Binks
How to Argue With a Racist: What Our Genes Do (and Don't) Say About Human Difference,Adam Rutherford
No Good,Stevie J. Cole
The Angel of the Crows,Katherine Addison
Neolithica,Dan Soule
My Life As Death,D.J. Hoskins
The Hilarious World of Depression,John Moe
"De beminde (The Betrothed, #1)",Kiera Cass
"The Havoc We Wreak (The Four, #3)",Becca Steele
Once Upon A Tyne: Our story celebrating 30 years together on telly,Anthony McPartlin
Shadow of the Batgirl,Sarah Kuhn
Notes from an Apocalypse: A Personal Journey to the End of the World and Back,Mark O'Connell
Wonderland,Juno Dawson
Like Flames in the Night,Connilyn Cossette
Ted Templeman: A Platinum Producer’s Life in Music,Ted Templeman
The Hollow Places,T. Kingfisher
A Mosaic of Wings,Kimberly Duffy
"The Heart of a Hero (Global Search and Rescue, #2)",Susan May Warren
"The Iron Crown (The Darkest Court, #3)",M.A. Grant
Leon & Juliette,Annejet van der Zijl
Mr. Nobody,Catherine Steadman
The Voting Booth,Brandy Colbert
"Sinister Magic (Death Before Dragons, #1)",Lindsay Buroker
Start With Me,Kara Isaac
Me & Patsy Kickin' Up Dust: My Friendship with Patsy Cline,Loretta Lynn
Big Lies in a Small Town,Diane Chamberlain
"Ten Things I Hate About the Duke (Difficult Dukes, #2)",Loretta Chase
"Wicked Saint (Sinners and Saints, #1)",Veronica Eden
Tales from the Folly: A Rivers of London Short Story Collection,Ben Aaronovitch
"Panic (Dark Light, #3)",D.J. Hoskins
Shakespeare for Squirrels,Christopher Moore
Breathless,Jennifer Niven
Cusp (Renzo + Lucia Book 5),Bethany-Kris
Release,Aly Martinez
"Check, Please!, Book 2: Sticks & Scones",Ngozi Ukazu
No Fixed Line (Kate Shugak #22),Dana Stabenow
"Spirit Run: A 6,000-Mile Marathon Through North America's Stolen Land",Noé Álvarez
"The Silvered Serpents (The Gilded Wolves, #2)",Roshani Chokshi
The Age of Entitlement: America Since the Sixties,Christopher Caldwell
Some Bright Someday (Maple Valley #2),Melissa Tagg
If I Had Your Face,Frances Cha
So This is Love,Elizabeth Lim
You Were Made For Me,Jenna Guillaume
She Leads: The Elephant Matriarch,June Smalls
Cemetery Boys,Aiden Thomas
A Graceful Swan for the Fearless Marquess,Fanny Finch
Our Way,T.L. Swan
"Paralysis (Dark Light, #2)",D.J. Hoskins
"Sweet Chaos (Love and Chaos, #2)",Emery Rose
"The Hundred Years' War on Palestine: A History of Settler Colonialism and Resistance, 1917–2017",Rashid Khalidi
Private Moscow: (Private 15),James Patterson
Stranger Things: Zombie Boys,Greg Pak
Drowning in Stars,Debra Anastasia
Dance Away with Me,Susan Elizabeth Phillips
"A Haven for Her Heart (Redemption's Light, #1)",Susan Anne Mason
The Last Story of Mina Lee,Nancy Jooyoun Kim
"Golden in Death (In Death, #50)",J.D. Robb
The Queen's Bargain (The Black Jewels #10),Anne Bishop
Bestiary,K-Ming Chang
Powder & Pavlova (Southern Lights #1),Jay Hogan
The Motion of the Body Through Space,Lionel Shriver
"Magic Unleashed (Hall of Blood and Mercy, #3)",K.M. Shea
Side Trip,Kerry Lonsdale
The Peacock Detectives,Carly Nugent
Wicked Liaison,Meara Platt
"Wicked Dreams (Fallen Royals, #1)",S. Massery
Intimations,Zadie Smith
Magic Lessons,Alice Hoffman
Patchwork Selkie (Fractured Fairy Tales #5),Sarina Dorie
"One Step After Another (The After Another Trilogy, #1)",Bethany-Kris
Rules for Dating Your Ex (The Baileys #9),Piper Rayne
You Were Born for This: Astrology for Radical Self-Acceptance,Chani Nicholas
Big Friendship: How We Keep Each Other Close,Aminatou Sow
The Bright Side Sanctuary for Animals,Becky Mandelbaum
"The Bomb: Presidents, Generals, and the Secret History of Nuclear War",Fred  Kaplan
A Golden Fury,Samantha Cohoe
Forever (Always & Forever #2),Kindle Alexander
The Green Dress,Liz Tolsma
The Likely Resolutions of Oliver Clock,Jane  Riley
"Magic Forged (Hall of Blood and Mercy, #1)",K.M. Shea
"To Love a Prince (True Blue Royal, #1)",Rachel Hauck
The Return,Rachel   Harrison
Betty,Tiffany McDaniel
"Surrender, White People!: Our Unconditional Terms for Peace",D.L. Hughley
A Girl Is a Body of Water,Jennifer Nansubuga Makumbi
The Rivals,Vi Keeland
Vile Intentions,Savannah Rose
Cruel Seduction (Underground Kings #2),Kelli Callahan
The Forest Lord (Fractured Fairy Tales #3),Sarina Dorie
"Victory at Prescott High (The Havoc Boys, #5)",C.M. Stunich
"A Love Song for Liars (Rivals, #1)",Piper Lawson
Shackled to the World (A Phantom Touched #2),Stacey Brutger
"The Honest Enneagram: Know Your Type, Own Your Challenges, Embrace Your Growth",Sarajane Case
"Crooked River (Pendergast, #19)",Douglas Preston
"Here for It; Or, How to Save Your Soul in America: Essays",R. Eric Thomas
"Hunting for a Highlander (Highland Brides, #8)",Lynsay Sands
The Silence: ‘A riveting mystery’,Susan  Allott
"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller
Winter Counts,David Heska Wanbli Weiden
Faked,Karla Sorensen
